ID,D_ID,U_ID,Speaker,Utterance,Emotion,Label
54,5,8,Joey,"Oh, how bad is it?",sadness,0
55,5,9,Phoebe,"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,1
56,5,10,Chandler,How’s your room Rach?,neutral,0
57,5,11,Rachel,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,1
58,5,12,Monica,Isn’t that mine?,neutral,1
59,5,13,Rachel,Fine! I’m sorry for your loss!,anger,0
60,5,14,Fireman #1,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,0
61,5,15,Rachel,"Wow! Oh-okay, look pal, I am",joy,0
62,5,16,Monica,"Yes, they can stay with us.",neutral,0
63,5,17,Chandler,Have you figured out what started the fire Mr. Fireman?,neutral,1
64,6,0,Ross,"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,1
65,6,1,Monica,"Ross, we can handle this.",neutral,0
66,6,2,Ross,"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,1
67,6,3,Ross,"I mean, enough of the silliness!",anger,1
68,6,4,Chandler,"Well, why don’t you tell her to stop being silly!",anger,1
69,6,5,Ross,Okay-okay!,anger,0
70,6,6,Ross,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,1
71,6,7,Ross,Do you really want to throw that all away over a room?,sadness,0
72,6,8,Ross,That is so silly.,joy,1
73,6,9,Ross,"Now wh-what is more important, love or silliness?",neutral,1
74,6,10,Chandler,"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,1
75,6,11,Monica,Love is the best medicine.,joy,0
76,6,12,Chandler,That’s laughter.,joy,0
77,6,13,Monica,Why do you do it?,neutral,1
78,6,14,Chandler,I don’t know.,neutral,0
79,6,15,Ross,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,0
80,6,16,Chandler,"Yeah, I do.",neutral,0
81,6,17,Ross,"And Mon, you wanna live with Chandler, don’t ya?",neutral,0
82,6,18,Monica,Yes.,neutral,0
83,6,19,Ross,Good! A verbal contract is binding in the state of New York!,joy,1
84,7,0,Roger,Oh.,neutral,0
85,7,1,Phoebe,"But I don't. Me, Phoebe.",neutral,0
86,7,2,Roger,"Well, I'm not I'm not at all surprised they feel that way.",neutral,0
87,7,3,Phoebe,"You're not? See, that's why you're so great!",surprise,0
88,7,4,Roger,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,1
89,7,5,Roger,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,1
90,7,6,Roger,Define me!,anger,0
91,7,7,Roger,"Love me, I need love!",anger,1
92,8,0,Phoebe,Have you really done this before?,surprise,0
93,8,1,Joey,Yeah!,joy,0
94,8,2,Joey,Yeah!,joy,0
95,8,3,Joey,Yeah!,joy,0
96,8,4,Joey,"You just take a big, big swing.",neutral,0
97,8,5,Joey,"Now, don’t hold back.",neutral,0
98,8,6,Phoebe,Hey!,joy,0
99,8,7,Joey,Hey-hey-hey!,joy,0
100,8,8,Chandler,What are you doing?,neutral,0
101,8,9,Phoebe,We’re just celebrating that Joey got his health insurance back.,joy,1
102,8,10,Chandler,"Oh, all right.",neutral,0
103,9,0,Monica,"Hey, Joey, could you pass the cheese?",neutral,0
104,9,1,Joey,"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral,0
105,9,2,Joey,"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral,1
106,9,3,A Waiter,"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral,1
107,9,4,Joey,There’s like-there’s like 300 bucks in this one!,surprise,0
108,9,5,The Waiter,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,1
109,9,6,Monica,Could the waiters gather around to hear tonight’s specials?,neutral,0
110,9,7,Monica,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral,0
111,9,8,The Waiter,Because we can remember them.,neutral,0
112,9,9,Monica,Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,0
113,10,0,Ross,Hey. When you guys were kids and you played,neutral,0
114,10,1,Monica,I was always Joanne.,neutral,0
115,10,2,Joey,"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral,1
116,10,3,Phoebe,Ewww! Oh! It’s the Mattress King!,disgust,0
117,10,4,Chandler,Don’t look honey. Change the channel! Change the channel!,disgust,0
118,10,5,Janice,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,1
119,10,6,Chandler,What a wank!,anger,1
120,10,7,Janice,"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger,1
121,10,8,Monica,I know!,anger,0
122,10,9,Monica,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,1
123,10,10,Monica,And I’m appalled for you by the way.,anger,1
124,10,11,Rachel,"You had to do it, didn’t you? You couldn’t just leave it alone.",sadness,0
125,10,12,Ross,Four percent. Okay. I tip more than that when there’s a bug in my food.,disgust,1
126,10,13,Rachel,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,0
127,10,14,Ross,"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,1
128,10,15,Ross,"Hey Pheebs, what are you doing?",neutral,0
129,10,16,Phoebe,"I’m, I’m freaking out!",fear,1
130,10,17,Phoebe,Monica kinda trusted me with something and she shouldn’t have!,fear,1
131,10,18,Phoebe,"All right, I haven’t lived here in a while, so I have to ask you something.",neutral,0
132,10,19,Phoebe,Does Monica still turn on the lights in her bedroom?,neutral,0
133,10,20,Rachel,Um. yeah.,neutral,0
134,10,21,Phoebe,I am,neutral,0
135,10,22,Rachel,"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral,0
136,10,23,Rachel,"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral,0
137,10,24,Ross,"Look, honey, I have tried to make nice, it doesn’t work.",anger,0
138,10,25,Rachel,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,0
139,10,26,Ross,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,1
140,10,27,Ross,Like me tiny doctor!’,anger,1
141,10,28,Rachel,"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,0
142,10,29,Ross,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger,0
143,10,30,Rachel,"Okay, well you are just gonna have too, okay.",anger,0
144,10,31,Rachel,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger,0
145,10,32,Ross,"Okay, okay, okay.  I’ll get the bagels.",neutral,1
146,11,0,Rachel,It's not a purse! It's a shoulder bag.,anger,0
147,11,1,Joey,It looks like a women's purse.,neutral,0
148,11,2,Rachel,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,0
149,11,3,Joey,"See look,",neutral,0
150,11,4,Rachel,Exactly! Unisex!,neutral,1
151,11,5,Joey,Maybe you need sex.,neutral,1
152,11,6,Rachel,No! No Joey! U-N-I-sex.,joy,0
153,11,7,Joey,"Well, I ain't gonna say no to that.",neutral,1
154,12,0,Chandler,Hey!,joy,0
155,12,1,Monica,Hi.,neutral,0
156,12,2,Chandler,"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral,1
157,12,3,Monica,"Yeah, it did.",joy,0
158,12,4,Chandler,"So, I guess this is over.",sadness,0
159,12,5,Monica,What?,neutral,0
160,12,6,Chandler,"Well, y'know, you and me, it had to end sometime.",sadness,0
161,12,7,Monica,"Why, exactly?",surprise,0
162,12,8,Chandler,"Because of the weekend, we had a fight.",sadness,0
163,12,9,Monica,Chandler that's crazy!,surprise,0
164,12,10,Monica,If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger,1
165,12,11,Chandler,"So, this isn't over?",neutral,0
166,12,12,Monica,You are so cute!,joy,0
167,12,13,Monica,No.,joy,0
168,12,14,Monica,"No, it was a fight.",neutral,0
169,12,15,Monica,You deal with it and move on!,joy,0
170,12,16,Monica,It's nothing to freak out about.,neutral,0
171,12,17,Chandler,Really? Okay. Great!,joy,1
172,12,18,Monica,"Ohh, welcome to an adult relationship!",joy,0
173,12,19,Chandler,We're in a relationship?,surprise,0
174,12,20,Monica,I'm afraid so.,neutral,0
175,12,21,Chandler,Okay.,neutral,0
176,13,0,Monica,What? Honey.,neutral,0
177,13,1,Rachel,"Oh, I am, my side still hurts from when you crashed into me yesterday.",neutral,0
178,13,2,Monica,"Oh God, I’m so sorry.",sadness,0
179,13,3,Rachel,I know.,neutral,0
180,13,4,Rachel,Ow!!,anger,0
181,13,5,Monica,Oh God!,surprise,0
182,13,6,Ross,"Hey, you guys! Guess what?",joy,0
183,13,7,Rachel,Got a job on a river boat?,neutral,1
184,13,8,Ross,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger,0
185,13,9,Rachel,"Oh I see, so this suit is making a point.",neutral,0
186,13,10,Rachel,"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger,1
187,13,11,Ross,You like it right?,neutral,0
188,13,12,Monica,Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,neutral,1
189,13,13,Rachel,"Yeah, come here!",neutral,0
190,13,14,Monica,What-what was it you were gonna tell us?,neutral,0
191,13,15,Rachel,Yeah. Oh! Was how you invented the cotton gin?!,neutral,1
192,13,16,Ross,"Okay, good bye!",anger,0
193,14,0,Man,"Oh uh, up or down?",neutral,0
194,14,1,Phoebe,Oh down please.  I-I hate to be a ball buster can I just do it?,joy,0
195,14,2,Man,Could you press up too please?,neutral,1
196,14,3,Phoebe,Sure! I feel so bad for you. I broke my leg once too.,sadness,0
197,14,4,Man,Oh yeah? How’d yours happen?,neutral,0
198,14,5,Phoebe,"Well, it’s a long story.",neutral,0
199,14,6,Phoebe,It’s kind of embarrassing.,neutral,0
200,14,7,Phoebe,Let’s just say there was a typographical error with a sex manual.,joy,0
201,14,8,Phoebe,How about you?,neutral,0
202,14,9,Man,Car accident.,sadness,0
203,14,10,Man,"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",neutral,0
204,14,11,Man,"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",neutral,1
205,14,12,Phoebe,"Uh-huh, yeah.",neutral,0
206,14,13,Man,"Well umm, if you have sometime y’know and maybe you might want to visit someone else",neutral,0
207,14,14,Phoebe,Oh yeah! I-I would like that.,joy,0
208,14,15,Phoebe,Wait! What?! No!! Elevator!! No!,anger,1
209,14,16,Joey,"Uh, you gotta press the button.",neutral,0
210,15,0,Chandler,"Oh we did, and you still have all your lamps.",neutral,1
211,15,1,Chandler,"Oh, I didn't factor in the room tax.",surprise,0
212,15,2,Ross,"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral,1
213,15,3,Ross,Oh my god.,surprise,0
214,15,4,Chandler,What?,surprise,0
215,15,5,Ross,There's something new in the bowl.,surprise,1
216,15,6,Chandler,"Look, we have enough, just walk away.",fear,0
217,15,7,Ross,"No, but I want...I want the pinecones!",joy,1
218,15,8,Chandler,There's a forest right outside.,neutral,1
219,15,9,Ross,It's not the same.,neutral,0
220,15,10,Chandler,"Ok, go quick!",fear,0
221,15,11,Ross,Thank you for a delightful stay.,joy,0
222,15,12,Ross,"Oh, my maple candy!",joy,1
223,16,0,Phoebe,"Yes!! Yes! Yes! Yes!! That’s my Dad, that’s Frank! Yeah! I’m sorry I’m getting all flingy.",surprise,1
224,16,1,Phoebe Sr,"Take it easy--if you want, there’s cookies on the counter, or, or--sangria!  I can make sangria!",joy,0
225,16,2,Phoebe,"No-no, sorry. Cookies are good, thanks.",neutral,1
226,16,3,Phoebe Sr,Oh.,neutral,0
227,16,4,Phoebe,"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?",neutral,0
228,16,5,Phoebe Sr,"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.",sadness,0
229,16,6,Phoebe,"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral,0
230,16,7,Phoebe Sr,"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral,0
231,16,8,Phoebe,"Oh, what? What was it?",surprise,0
232,16,9,Phoebe Sr,The three losers.,sadness,1
233,16,10,Phoebe Sr,"Oh, poor Lily.",sadness,0
234,16,11,Phoebe Sr,"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.",sadness,0
235,16,12,Phoebe,"Yeah, no, it was great.",joy,1
236,17,0,Phoebe,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",sadness,1
237,17,1,Phoebe,Go back in time and listen to Phoebe!,anger,1
238,17,2,Monica,"Alright here¡¯s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral,0
239,17,3,Rachel,Ok.,neutral,0
240,17,4,Monica,It worked!,surprise,0
241,17,5,Rachel,Oh  oh no just stopped to throw up a little bit.,sadness,1
242,17,6,Rachel,"Oh come on, what am I gonna do, its been hours and it  won¡¯t stop crying.",sadness,0
243,17,7,Monica,"Umm, she Rach, not it, she.",neutral,0
244,17,8,Rachel,"Yeah, I¡¯m not so sure.",neutral,1
245,17,9,Monica,"Oh my god, I am losing my mind.",anger,0
246,17,10,Phoebe,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",anger,1
247,18,0,Monica,"Well, you’re not.",neutral,0
248,18,1,Rachel,"Oh, it’s so easy for you I mean, you’re not married, you get to have sex with who ever you want!",disgust,0
249,18,2,Monica,"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!",joy,1
250,18,3,Rachel,"Monica. You’ve, you’ve done it right?",surprise,0
251,18,4,Monica,"Of course I have! What do you think, I’m some 30 year old virgin?",anger,1
252,18,5,Rachel,Oh my God! You’re a 30 year old virgin!,surprise,1
253,18,6,Monica,"Say it louder, I don’t think the guy all the way in the back heard you!",disgust,1
254,18,7,Monica,"It’s not like, I haven’t any opportunities.",anger,0
255,18,8,Monica,"I mean, y’know, I’m just waiting for the perfect guy.",neutral,0
256,18,9,Monica,"I’m seeing this guy Roger, all right?",neutral,0
257,18,10,Monica,"He’s not perfect, but umm, I think maybe I should just get it over with.",neutral,0
258,18,11,Monica,"Y’know, give him my flower.",neutral,1
259,18,12,Rachel,"Oh my God!! Do it!! Honey, you’ve waited",surprise,1
260,18,13,Monica,Y’know what? You are right?!,surprise,0
261,18,14,Rachel,I mean sex does not have to be a big deal!,anger,0
262,18,15,Rachel,There shouldn’t be all this rules and restrictions!,anger,0
263,18,16,Rachel,"Y’know, people should be able to sleep with who ever they want, whenever",neutral,0
264,18,17,Monica,Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,anger,0
265,18,18,Rachel,Oh what do you know? Virgin!,anger,1
266,19,0,Janice,"So, I hear, you hate me!",anger,1
267,19,1,Joey,"I, ah, I never said hate, I was very careful about that.",neutral,1
268,19,2,Janice,A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger,1
269,19,3,Joey,And you got a 'hate' from that?! Your taking a big leap there...,fear,1
270,19,4,Janice,"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",anger,0
271,19,5,Janice,"So, this is my idea: you and me spending some quality time together.",neutral,0
272,19,6,Joey,But what does that gonna do...,anger,0
273,19,7,Janice,For Chandler!,anger,0
274,20,0,Ross,"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral,1
275,20,1,Mr. Geller,I thought he was with you.,neutral,0
276,20,2,Ross,"He-he was with me umm, we’re playing a little game, y’know? Hide and seek.",neutral,0
277,20,3,Mr. Geller,"You can’t ask us son, that’s cheating.",neutral,1
278,20,4,Ross,"You’re right, thanks for keeping me honest dad.",neutral,1
279,20,5,Mrs. Geller,"Well, he better not come by here. He can’t see the bride in the wedding dress.",neutral,0
280,20,6,Mrs. Bing,"As I recall when we got married, I saw the groom in the wedding dress.",joy,1
281,20,7,Mr. Bing,"But that was after the wedding, it’s not bad luck then.",neutral,0
282,20,8,Mrs. Bing,"Honey, it isn’t good luck.",neutral,1
283,20,9,Ross,Oh my God! Monica!,surprise,0
284,20,10,Monica,"I know! Hey, how’s Chandler doin’?",neutral,1
285,20,11,Ross,Great. He’s doing great. Don’t you worry about Chandler.,neutral,1
286,21,0,Monica,"So, we did okay at the strip club, right?",neutral,0
287,21,1,Chandler,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",anger,1
288,21,2,Rachel,I can’t believe it! He still hasn’t called.,anger,0
289,21,3,Phoebe,"Who, Josh?",surprise,0
290,21,4,Rachel,It’s Joshua.,anger,0
291,21,5,Monica,"What, he doesn’t like Josh?",surprise,0
292,21,6,Rachel,"No, I don’t.",disgust,0
293,21,7,Chandler,"All right, well I’m gonna put my sweats back on.",neutral,0
294,21,8,Phoebe,Oh no!,surprise,0
295,21,9,Phoebe,Wait!,surprise,0
296,21,10,Phoebe,"Okay, y’know what, you were right, you were right.",sadness,0
297,21,11,Phoebe,"We really weren’t great at being guys, but you know why?",sadness,0
298,21,12,Phoebe,Because we’re girls.,neutral,1
299,22,0,Ross,"Thank you, thanks.",joy,0
300,22,1,Ross,"Yeah, I lost it.",sadness,0
301,22,2,Ross,"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",neutral,0
302,22,3,Phoebe,"After that? Yeah! No, I mean if I can help.",surprise,1
303,22,4,Ross,"Yeah, like I could",neutral,0
304,22,5,Rachel,What?,surprise,0
305,22,6,Ross,I played bad on purpose guys.,joy,1
306,22,7,Monica,"Okay, so you were trying to play bad this whole time.",surprise,0
307,22,8,Ross,"Yeah—no, just that last song.",neutral,1
308,23,0,Monica,Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,anger,0
309,23,1,Phoebe,"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral,0
310,23,2,Monica,"No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding.",neutral,0
311,23,3,Phoebe,Really?!,surprise,0
312,23,4,Phoebe,Oh that’s so exciting!,joy,0
313,23,5,Phoebe,Thanks Mon!,joy,0
314,23,6,Phoebe,"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",anger,1
315,23,7,Monica,"Fair enough, now go get ready!",neutral,0
316,23,8,Monica,"I’ll get everybody else , finally we can start celebrating my— I’m sorry, uh apparently I’ve opened the door to the past.",neutral,1
317,24,0,Leslie,"My best shoes, so good to me.",joy,0
318,24,1,Leslie,I wear them everyday.,joy,0
319,24,2,Leslie,"Down at the heel, holes in the toes.",joy,0
320,24,3,Leslie,Don’t care what people say.,joy,0
321,24,4,Leslie,"My feet’s best friends, pals to the end.",joy,0
322,24,5,Leslie,With them I’m one hot chicky.,joy,0
323,24,6,Leslie,"Though late one night, not much light, I....",neutral,0
324,24,7,Phoebe,I stepped in something icky.,joy,0
325,24,8,Phoebe and Leslie,"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",joy,0
326,25,0,Joey,"God, it’s gonna so weird like when I come home and you’re not here.",sadness,0
327,25,1,Joey,No more Joey and Chan’s.,sadness,0
328,25,2,Joey,No more J and C’s.,sadness,0
329,25,3,Joey,"""You wanna go over to Joey and Chandler’s?""",neutral,0
330,25,4,Joey,"""Can’t, its not there.""",neutral,1
331,25,5,Chandler,"Look, I’m just gonna be across the hall, we can still do all the same stuff.",neutral,0
332,25,6,Joey,Yeah but we won’t be able to like get up in the middle of the night and have those long talks about our feelings and the future.,sadness,0
333,25,7,Chandler,Not once did we do that.,neutral,1
334,25,8,Monica,Hi.,neutral,0
335,25,9,Chandler,Hey!,neutral,0
336,25,10,Joey,Hi.,neutral,0
337,25,11,Monica,"So I, I told Rachel it was just gonna be the two of us.",neutral,0
338,25,12,Chandler,"Oh yeah? Well, how’d she take it?",neutral,0
339,25,13,Monica,"Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or sad.",neutral,0
340,26,0,Monica,Hi!,joy,0
341,26,1,Chandler,Hi!,joy,0
342,26,2,Joey,Monica? What time is it?,neutral,1
343,26,3,Chandler,"Uhh, 9.",neutral,0
344,26,4,Joey,But it's dark out.,neutral,0
345,26,5,Monica,"Well that's because you always sleep to noon, silly! This is what 9 looks like.",neutral,1
346,26,6,Joey,I guess I'll get washed up then. Watch that sunrise.,neutral,1
347,26,7,Monica,I'm,neutral,0
348,26,8,Chandler,"I know, me too.",neutral,0
349,26,9,Chandler,Hey!,joy,0
350,26,10,Chandler,Y'know what if we went away for a whole weekend?,neutral,0
351,26,11,Chandler,Y'know we'd have no interruptions and we could be naked the entire time.,joy,1
352,26,12,Monica,All weekend? That's a whole lotta naked.,surprise,1
353,26,13,Chandler,"Yeah, I can say that I have a conference and you can say you have a chef thing.",neutral,0
354,26,14,Monica,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!",joy,0
355,26,15,Chandler,"Okay, y'know your not though. Let's go.",neutral,1
356,26,16,Monica,Wait! What about Joey?,neutral,0
357,27,0,Ross,Okay I-I just have to stop by my place first.,neutral,0
358,27,1,Joey,"To tape the game? You do this every time Ross, you’re",disgust,0
359,27,2,Ross,"No-no, I-I have to see if this apartment became available.",neutral,0
360,27,3,Joey,"Oh, you’re switching apartments?",surprise,0
361,27,4,Ross,"It’s not for me, it’s for Rachel.",neutral,0
362,27,5,Joey,But Rachel has an apartment.,neutral,0
363,27,6,Ross,"Yeah, but when the baby comes she’s gonna want to move.",neutral,0
364,27,7,Joey,She is?,surprise,0
365,27,8,Ross,"Yeah, you didn’t expect her to live there with a baby did you?",surprise,0
366,27,9,Joey,I guess I didn’t really think about it.,neutral,0
367,27,10,Ross,Ezel!  Hey Gunther! You’re an ezel!,anger,1
368,27,11,Ross,Damnit!,anger,1
369,28,0,Monica,Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,surprise,1
370,28,1,Rachel,Little village people.,neutral,1
371,28,2,Monica,"Okay, look at this one. This is my favourite.",joy,0
372,28,3,Rachel,"Oh, that is so sweet!",joy,0
373,28,4,Monica,I know! Phoebe is gonna love dressing them in these!,joy,0
374,28,5,Rachel,"Huh. Except, Phoebe’s not gonna be the one that gets to dress them.",neutral,0
375,28,6,Monica,Because she’s not gonna get to keep the babies.,sadness,0
376,28,7,Rachel,Oh my God! We are throwing the most depressing baby shower ever!,sadness,1
377,28,8,Monica,Wait a minute!,surprise,0
378,28,9,Monica,"Unless, we give her all gifts she can use after she’s done being pregnant.",joy,0
379,28,10,Monica,"Like-like umm, regular coffee, Tequila.",neutral,0
380,28,11,Rachel,"Oh, and somebody can get those leather pants she’s always wanted!",joy,0
381,28,12,Monica,"Oh, she’s gonna love that!",joy,0
382,29,0,Judge,Okay you two are asking the court for an annulment?,neutral,0
383,29,1,Rachel,"Yes your honor, and here are, are forms, all filled out.",neutral,0
384,29,2,Judge,So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,neutral,0
385,29,3,Ross,"Fine, I’m mentally unstable.",anger,1
386,29,4,Judge,And based on the fact that Mr. Geller is intravenous drug user.,neutral,1
387,29,5,Ross,What?!,surprise,0
388,29,6,Rachel,"Uh yes, heroin and crack.",neutral,0
389,29,7,Ross,Crack isn’t even an intravenous drug!,anger,0
390,29,8,Rachel,"Well, you would know.",neutral,1
391,29,9,Judge,Now it also says here that you lied about your sexual preference before marriage?,neutral,0
392,29,10,Ross,"Oh, come on!",sadness,0
393,29,11,Rachel,"Ross, please, I found the magazines!",sadness,1
394,30,0,Rachel,"I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!",sadness,1
395,30,1,Ross,"Oh sure, come here!  Sure you can! Uh, look come here look,  it’s-it’s-it’s, it’s right there .",neutral,0
396,30,2,Rachel,"Oh. Oh, it’s beautiful. I see it now.",joy,1
397,30,3,Ross,Do you really?,neutral,0
